seller_id,orders,average_rating,negative_rate,one_star_rate,delivery_orders,avg_delivery_days,avg_delay_days,late_rate
25e6ffe976bd75618accfe16cefcbd0d,108,4.384615384615385,9.401709401709402,7.6923076923076925,106,10.152859997379455,-12.900293937805731,5.660377358490567
282f23a9769b2690c5dda22e316f9941,99,4.3,4.545454545454546,3.6363636363636362,98,11.22246019935752,-10.395335175736962,5.1020408163265305
289cdb325fb7e7f891c38608bf9e0962,110,4.579365079365079,4.761904761904762,3.968253968253968,109,6.728997196738023,-9.661951771151886,1.834862385321101
2a1348e9addc1af5aaa619b1a3679d6b,52,3.0,40.74074074074074,38.88888888888889,48,27.313096788194443,1.6164293981481486,27.083333333333332
2a261b5b644fa05f4f2700eb93544f2c,51,3.3373493975903616,36.144578313253014,34.93975903614458,51,14.071188725490197,-8.953562545388525,19.607843137254903
2a7dc43cecabf23403078e2188437d1d,52,4.092592592592593,11.11111111111111,9.25925925925926,52,13.144261485042735,-9.295263977920227,7.6923076923076925
2a84855fd20af891be03bc5924d2b453,164,4.233532934131737,11.377245508982035,9.580838323353294,155,8.584483497610513,-11.728997535842293,3.225806451612903
2b3e4a2a3ea8e01938cabda2a3e5cc79,52,4.388888888888889,7.4074074074074066,7.4074074074074066,52,8.775291800213676,-11.204939903846155,0.0
2c9e548be18521d1c43cde1c582c6de8,126,3.9239766081871346,19.883040935672515,17.543859649122805,124,13.678749999999999,-5.926114377986858,16.129032258064516
2dee2ce60de9709b1a24083217181a1f,54,4.363636363636363,7.2727272727272725,5.454545454545454,54,14.143901963305897,-16.777850222908093,1.8518518518518516
2e1c9f22be269ef4643f826c9e650a52,167,4.16374269005848,12.865497076023392,11.11111111111111,161,9.822513011847251,-9.703274672187716,6.832298136645963
2e90cb1677d35cfe24eef47d441b7c87,127,4.036496350364963,16.78832116788321,13.86861313868613,127,12.454366980169146,-9.69025936862059,13.385826771653544
2eb70248d66e0e3ef83659f71b244378,202,2.712918660287081,50.23923444976076,38.75598086124402,187,18.013339027530204,-9.339107929788076,13.903743315508022
2ff97219cb8622eaf3cd89b7d9c09824,89,4.541666666666667,3.125,2.083333333333333,87,8.974518545125585,-8.835827745849297,5.747126436781609
3078096983cf766a32a06257648502d1,59,4.203125,14.0625,10.9375,56,12.067960276124339,-11.783672701719578,5.357142857142857
30a2f535bb48308f991d0b9ad4a8c4bb,71,4.261363636363637,13.636363636363635,12.5,71,8.210501597548252,-12.47453980829421,2.8169014084507045
318f287a62ab7ac10b703ac37435a231,52,3.870967741935484,20.967741935483872,16.129032258064516,51,11.519044798474946,-9.191610838779956,9.803921568627452
33a6f4b1e7cdc205511e76ba1b6e0186,105,4.357142857142857,10.317460317460316,7.936507936507936,105,8.50247299382716,-12.361712852733687,1.9047619047619049
34056b8b55c1775a22af2331670a799c,78,4.0,15.384615384615385,11.538461538461538,77,12.927642496392497,-10.19920695045695,11.688311688311687
3504c0cb71d7fa48d967e0e4c94d59d9,53,4.415094339622642,3.7735849056603774,1.8867924528301887,53,7.327788478336827,-10.038098139412998,0.0
